tipo_entidad,codigo_entidad,instancia_recepcion,producto,departamento,cantidad_quejas_recibidas,es_fraude
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CÓRDOBA,1,1
1,43,Entidad vigilada,Créditos comerciales,CUNDINAMARCA,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
5,12,Otra (remisión por competencia),Fiducia de administración,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ATLÁNTICO,9,0
128,6,Entidad vigilada,Otros productos de Fiduciarias,"BOGOTÁ, D.C.",1,0
1,39,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CAUCA,1,1
1,56,Entidad vigilada,Tarjetas de crédito,ANTIOQUIA,1,0
1,49,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Cuenta de ahorro,"BOGOTÁ, D.C.",1,1
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,1,0
14,1,Entidad vigilada,Seguro de salud,NORTE DE SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Creditos de consumo,ANTIOQUIA,9,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,SANTANDER,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CÓRDOBA,1,1
1,39,Superintendencia Financiera de Colombia,Otros productos de Establecimientos de Crédito y SEDPE,BOLÍVAR,1,0
14,11,Entidad vigilada,Seguro de salud,VALLE DEL CAUCA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CALDAS,2,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),ANTIOQUIA,1,0
128,3,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),"BOGOTÁ, D.C.",1,0
25,14,Entidad vigilada,Pensiones obligatorias - Vejez,GUAVIARE,1,0
1,7,Entidad vigilada,Cuenta de ahorro,ANTIOQUIA,114,0
1,7,Entidad vigilada,Cuenta de ahorro,SANTANDER,1,0
1,49,Superintendencia Financiera de Colombia,Cuenta de ahorro,"BOGOTÁ, D.C.",1,0
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),SANTANDER,1,1
1,7,Entidad vigilada,Depósitos de bajo monto (Capítulo I del Título 15 del Decreto 2555 de 2010),CUNDINAMARCA,3,0
1,43,Entidad vigilada,Otros productos de Establecimientos de Crédito y SEDPE,CALDAS,1,0
4,128,Entidad vigilada,Tarjetas de crédito,"BOGOTÁ, D.C.",1,1
